id;start_date;end_date;language
1;2021-05-15T14:12:28;2021-05-15T12:02:43;ENGLISH
2;2021-05-14T23:40:03;2021-05-15T09:05:32;FRENCH
3;2021-05-15T09:36:15;2021-05-14T21:41:23;SPANISH
4;2021-05-15T14:07:04;2021-05-14T19:33:23;FRENCH
5;2021-05-15T16:23:27;2021-05-15T00:42:25;ENGLISH
6;2021-05-15T01:54:10;2021-05-15T15:54:30;SPANISH
7;2021-05-15T09:57:58;2021-05-14T20:32:07;FRENCH
8;2021-05-15T00:23:51;2021-05-14T20:59:40;FRENCH
9;2021-05-15T01:15:29;2021-05-15T12:46:55;FRENCH
10;2021-05-14T21:12:27;2021-05-15T14:09:56;FRENCH
